v8-version,6,2,414,50,0
shared-library,"/usr/bin/node",0x00400000,0x01f56000,0
shared-library,"/lib/x86_64-linux-gnu/libc-2.23.so",0x7f75c1a73000,0x7f75c1c33000,0
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.23.so",0x7f75c1e3d000,0x7f75c1e55000,0
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f75c205a000,0x7f75c2070000,0
shared-library,"/lib/x86_64-linux-gnu/libm-2.23.so",0x7f75c2270000,0x7f75c2378000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21",0x7f75c2579000,0x7f75c26eb000,0
shared-library,"/lib/x86_64-linux-gnu/librt-2.23.so",0x7f75c28fb000,0x7f75c2902000,0
shared-library,"/lib/x86_64-linux-gnu/libdl-2.23.so",0x7f75c2b03000,0x7f75c2b06000,0
shared-library,"/lib/x86_64-linux-gnu/ld-2.23.so",0x7f75c2d07000,0x7f75c2d2d000,0
shared-library,"[vdso]",0x7ffee65a7000,0x7ffee65a9000,0
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000,0
profiler,"begin",1000
tick,0x7f75c1af1328,495,0,0x0,4
tick,0x7f75c1bd3c31,1579,0,0x0,4
tick,0x10d342d,2652,0,0x0,4
code-creation,Stub,3,2768,0x333c03b84060,234,"JSEntryStub"
code-creation,Builtin,5,2770,0x333c03b841c0,128,"JSEntryTrampoline"
code-creation,Stub,3,2771,0x333c03b842a0,286,"CEntryStub"
code-creation,Builtin,5,2772,0x333c03b84420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,2773,0x333c03b84500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,2774,0x333c03b846a0,351,"ToObject"
code-creation,Stub,3,2776,0x333c03b84860,2084,"RecordWriteStub"
code-creation,Stub,3,2777,0x333c03b85100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,2778,0x333c03b852a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,2779,0x333c03b85400,139,"CallBoundFunction"
code-creation,Builtin,5,2779,0x333c03b85500,548,"CallProxy"
code-creation,Stub,3,2780,0x333c03b857a0,1693,"GetPropertyStub"
code-creation,Builtin,5,2781,0x333c03b85ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,2782,0x333c03b86020,234,"JSEntryStub"
code-creation,Builtin,5,2783,0x333c03b86180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,2785,0x333c03b86260,77,"Construct"
code-creation,Builtin,5,2786,0x333c03b86320,18,"ConstructFunction"
code-creation,Builtin,5,2787,0x333c03b863a0,139,"ConstructBoundFunction"
code-creation,Builtin,5,2788,0x333c03b864a0,624,"ConstructProxy"
code-creation,Builtin,5,2789,0x333c03b86780,43,"ConstructedNonConstructable"
code-creation,Builtin,5,2790,0x333c03b86820,15,"EmptyFunction"
code-creation,Builtin,5,2791,0x333c03b868a0,28,"AdaptorWithBuiltinExitFrame"
code-creation,Stub,3,2791,0x333c03b86920,286,"CEntryStub"
code-creation,Builtin,5,2792,0x333c03b86aa0,615,"CompileLazy"
code-creation,Stub,3,2793,0x333c03b86d80,440,"RecordWriteStub"
code-creation,Stub,3,2794,0x333c03b86fa0,1192,"RecordWriteStub"
code-creation,Stub,3,2795,0x333c03b874c0,72,"StoreBufferOverflowStub"
code-creation,Stub,3,2796,0x333c03b87580,1220,"RecordWriteStub"
code-creation,Builtin,5,2797,0x333c03b87ac0,277,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,2798,0x333c03b87c40,925,"FastNewObject"
code-creation,Stub,3,2799,0x333c03b88040,2141,"RecordWriteStub"
code-creation,Handler,4,2800,0x333c03b88900,164,"An IC handler from the snapshot"
code-creation,Stub,3,2801,0x333c03b88a20,87,"DoubleToIStub"
code-creation,Stub,3,2802,0x333c03b88ae0,93,"DoubleToIStub"
code-creation,Stub,3,2803,0x333c03b88ba0,469,"CEntryStub"
code-creation,Stub,3,2803,0x333c03b88de0,2088,"RecordWriteStub"
code-creation,Stub,3,2804,0x333c03b89680,2072,"RecordWriteStub"
code-creation,Stub,3,2805,0x333c03b89f00,2084,"RecordWriteStub"
code-creation,Stub,3,2806,0x333c03b8a7a0,2119,"RecordWriteStub"
code-creation,Stub,3,2807,0x333c03b8b060,2099,"RecordWriteStub"
code-creation,Stub,3,2808,0x333c03b8b900,2088,"RecordWriteStub"
code-creation,Stub,3,2809,0x333c03b8c1a0,1688,"StringAddStub"
code-creation,Stub,3,2809,0x333c03b8c8a0,890,"RecordWriteStub"
code-creation,Stub,3,2810,0x333c03b8cc80,2134,"RecordWriteStub"
code-creation,Stub,3,2811,0x333c03b8d540,2103,"RecordWriteStub"
code-creation,Stub,3,2812,0x333c03b8dde0,882,"RecordWriteStub"
code-creation,Stub,3,2813,0x333c03b8e1c0,2088,"RecordWriteStub"
code-creation,Stub,3,2845,0x333c03b8ea60,2088,"RecordWriteStub"
code-creation,Stub,3,2846,0x333c03b8f300,2126,"RecordWriteStub"
code-creation,Stub,3,2847,0x333c03b8fbc0,1250,"RecordWriteStub"
code-creation,Stub,3,2848,0x333c03b90120,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,2849,0x333c03b90260,2100,"RecordWriteStub"
code-creation,Stub,3,2850,0x333c03b90b00,2075,"RecordWriteStub"
code-creation,Stub,3,2850,0x333c03b91380,367,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,2851,0x333c03b91560,2075,"RecordWriteStub"
